Designator,Mid X,Mid Y,Rotation,Layer
C10,104.0,-80.5,180.0,top
C11,123.0,-78.05,270.0,top
C12,104.0,-74.5,180.0,top
C13,104.0,-73.0,180.0,top
C14,104.0,-76.0,180.0,top
C15,100.5,-70.3625,270.0,top
C16,109.5,-70.3625,270.0,top
C17,101.98,-70.3625,270.0,top
C18,103.5,-70.3625,270.0,top
C19,111.0,-70.3625,270.0,top
C2,124.5,-74.3625,90.0,top
C20,106.5,-70.3625,270.0,top
C21,108.0,-70.3625,270.0,top
C22,105.0,-70.3625,270.0,top
C23,112.5,-70.3625,270.0,top
C3,126.0,-74.3625,90.0,top
C7,123.0,-74.3625,270.0,top
C8,115.3625,-69.0,0.0,top
C9,97.3625,-85.5,180.0,top
J1,90.5,-77.3,180.0,top
R11,118.0,-69.9125,270.0,top
R12,124.5,-78.05,270.0,top
R13,126.0,-78.05,270.0,top
R19,103.5875,-77.5,0.0,top
R9,103.5875,-79.0,0.0,top
SW1,124.1,-69.8625,180.0,top
U1,112.7,-76.2,180.0,top
U2,115.5,-84.75,0.0,top
U6,122.15,-83.5,180.0,top
U7,104.9125,-84.405,90.0,top
Y1,119.6,-73.7,180.0,top
